video_id,file_path,duration,cluster,cluster_name,semantic_tags,formal_tags,emotional_tags,preliminary_tags,time_tags,material_tags,dominant_colors,semantic_caption,ai_description
GOPR0208_scene_001,./scenes/GOPR0208_scene_001.mov,12.83,0,elemental stillness,"man, tent, ice cream, sign","stillness, soft_light",tranquil,"cream, free, says, sign, standing, tent, that, under",evening,"fabric, wood, outdoor","#cdd2cf, #323128, #918165","a scene from the movie 'the wizard of oz'   no people or objects are in focus   a small backyard in the city of montreal, canada   it's a backyard or patio   twilight   if you're working in a dark room",Man stands under tent with 'free ice cream' sign; soft lighting
2014-08-21 11.40.09_prores_scene_001,./scenes/2014-08-21 11.40.09_prores_scene_001.mov,72.57,4,luminous threshold,"indoor, animal, movement","thumbnail, soft_light",tranquil,"floor, hardwood, walking",night,wood,"#262321, #e3e2dd, #767876","a bedroom scene with two beds, tv, bedside table and dresser   a doorway with no door   a bedroom scene   a doorway with no door   a dark room with light coming in through the window   a room that has no windows and is dark","Indoor scene, hardwood floor, one cat walking, soft lighting."
2014-07-23 20.52.10_prores_scene_001,./scenes/2014-07-23 20.52.10_prores_scene_001.mov,15.08,4,luminous threshold,"outdoor, tree, field, soft_light","centered_composition, moderate_motion",tranquil,"field, large, middle, tree",night,wood,"#abaff3, #13151d, #8389cb",a cloudy sky with blue sky and clouds   no people or objects in focus   a cloudy sky with clouds in the sky   it's an outdoor scene   twilight   if you were to paint a picture of the sky,"A large tree centered in a softly lit field, motion presence moderate."
2014-11-08 16.38.19_prores_scene_001,./scenes/2014-11-08 16.38.19_prores_scene_001.mov,30.5,1,first perception,"boat, sky, water, view","thumbnail, soft_light","serene, tranquil","boat, view, water",dusk,outdoor,"#788290, #423d44, #bbbcb4",a view of the salt flats in argentina   no people or objects in focus   a view of the salt flats in argentina   it's a view from the window of my car   twilight at dusk   reflected in the water,A gently illuminated scene of sky and water as seen from a boat.
VDMX5 - Main Output 2021-10-14 at 15.10.57_prores_scene_001,./scenes/VDMX5 - Main Output 2021-10-14 at 15.10.57_prores_scene_001.mov,2.13,4,luminous threshold,"video, timestamp, night, motion","undescribed_thumbnail, time_data, motion_score",,,twilight,,"#3d6973, #3fd1b8, #99ece9",a man is sitting in front of an image of himself   a man is sitting in front of the camera   a man in tuxedo and striped shirt   a man is sitting in front of an electronic screen   a daytime photo   Describe the lighting conditions and color palette,"Absent thumbnail. Video timestamped at night, includes measurable motion, unspecified tone."
disco ball_prores_scene_001,./scenes/disco ball_prores_scene_001.mov,10.37,0,elemental stillness,"indoor, soft_light, blue_light, black_surface","close-up, still_life, color_contrast","serene, mysterious","black, blue, light, shining, surface",night,"fabric, wood","#180d92, #07033f, #371be8",a blue light is shining on the wall   no people or objects in focus   in a dark room with blue lights   it's an indoor scene   it appears to be night   if you want to create a mood in your room,A softly illuminated black surface with blue light.
2014-10-19 18.21.23_prores_scene_001,./scenes/2014-10-19 18.21.23_prores_scene_001.mov,8.03,1,first perception,"outdoor, trees, field, soft_light","wide_shot, static_composition","calm, serene","field, middle, tall, trees","evening, dusk","vegetation, natural_light","#8b7e6d, #363632, #e8edf0",a forest scene with trees in the background   no people or objects in focus   a forest of trees in the distance   a view from the window of an indoor room   a view of trees in the forest   i like the way the light hits the trees and leaves,A softly lit field with a row of tall trees.
Drone_prores_scene_001,./scenes/Drone_prores_scene_001.mov,159.52,3,residual interference,"city hall, night, illumination","architecture, exterior","serene, calm","building, city, hall, night",night,"masonry, glass","#05050c, #474844, #ccccd2",a cityscape at night with the lights of the skyscrapers   a view of the city at night   aerial view of a city at night   a view of the city at night   a view of the city at night   a city at night with the lights of buildings and traffic,"A city hall building illuminated at night, a gentle glow against a dark skyline."
TIM0_prores_scene_001,./scenes/TIM0_prores_scene_001.mov,2.94,2,human proximity,"traffic, night, highway, vehicle","dim_light, motion_blur, long_exposure, outdoor","busy, active","highway, lights, night, traffic",night,"asphalt, metal, glass","#b0947e, #0b0c0a, #52453a",a traffic camera captures the scene from the intersection of st johns rd and mcdonald street in   no people or objects in focus   a traffic scene with cars driving down the highway at night   it's an outdoor scene   twilight   if you are working with a color palette,A highway at night with vehicle lights in motion.
2014-06-05 20.09.56_prores_scene_001,./scenes/2014-06-05 20.09.56_prores_scene_001.mov,100.83,3,residual interference,"indoor, music, band, window, soft_light","dim_lighting, interior, performers, musical_instruments","ambient, creative","band, music, playing, room, window","late afternoon, golden hour","wood, fabric","#12120a, #757158, #e4e1d4",a group of people playing music   a group of people playing instruments   a scene in which people are playing musical instruments   a band is playing in front of the audience   a daytime scene   Describe the lighting conditions and color palette,"Dimly lit indoor space featuring a band with instruments, visible window in the background, motion present from music performance."
video_d70eccc0dba248d3856bb5c483469c87_prores_scene_001,./scenes/video_d70eccc0dba248d3856bb5c483469c87_prores_scene_001.mov,1.3,1,first perception,"daytime, sun, bright","thumbnail, soft_light, exterior","serene, peaceful","brightly, shining",late afternoon,light,"#1a2331, #d0dce8, #586e8b",a view of the sun rising over the horizon   no people or objects in focus   a sunbeam in the sky   it's an outdoor scene   astronomical observatory - astronomy com   iridescence of a star in the sky,"A frame illuminated by soft light, featuring the sun in a bright sky."
